Time,Value
0.601,0.427
2.508,0.854
4.315,1.281
6.123,1.708
7.930,2.135
9.738,2.562
11.644,2.989
13.454,3.416
15.364,3.843
17.174,4.270
18.983,4.697
20.694,5.124
22.503,5.551
24.312,5.978
26.20,6.405
27.829,6.832
29.539,7.259
31.348,7.686
33.56,8.113
34.763,8.540
36.472,8.967
38.284,9.394
40.93,9.821
41.799,10.248
43.610,10.676
45.320,11.103
47.131,11.530
48.841,11.957
50.652,12.384
52.362,12.811
54.73,13.238
55.881,13.665
57.591,14.92
59.402,14.519
61.111,14.946
62.922,15.373
64.632,15.800
66.444,16.227
68.153,16.654
69.963,17.81
71.672,17.508
73.483,17.935
75.194,18.362
77.4,18.789
78.811,19.216
80.521,19.643
82.332,20.70
84.41,20.497
85.850,20.924
87.660,21.352
89.370,21.779
91.80,22.206
92.789,22.633
