Time,Value
1.104,0.387
2.811,0.250
4.518,0.250
6.225,0.250
8.634,0.177
10.942,0.185
12.953,0.212
14.861,0.223
16.871,0.212
18.981,0.202
21.192,0.193
23.600,0.177
25.811,0.193
27.820,0.212
29.731,0.223
31.539,0.236
33.449,0.223
35.259,0.235
37.68,0.236
38.875,0.236
40.785,0.223
42.495,0.249
44.305,0.235
46.113,0.236
47.923,0.235
49.736,0.235
51.646,0.223
53.456,0.235
55.267,0.235
57.77,0.235
58.886,0.236
60.697,0.235
62.507,0.235
64.317,0.235
66.126,0.235
67.936,0.235
69.748,0.235
71.659,0.223
73.469,0.235
75.279,0.235
77.89,0.236
78.896,0.236
