1032, 374
2115, 416
3198, 419
4282, 425
5365, 427
6449, 428
7531, 408
8614, 435
9698, 428
10781, 458
11866, 440
12949, 413
14032, 414
15117, 419
16200, 431
17284, 409
18367, 422
19451, 418
20535, 434
21618, 434
22702, 429
23786, 438
24869, 415
25953, 418
27036, 425
28121, 438
29204, 432
30287, 437
31372, 428
32455, 420
33539, 421
34623, 436
35706, 421
36790, 431
37873, 451
38958, 450
40041, 433
41124, 424
42209, 422
43292, 422
44376, 421
45459, 438
46543, 431
47627, 436
48710, 433
49795, 436
50878, 432
51961, 423
53045, 438
54129, 445
55213, 433
56296, 410
57379, 408
58464, 409
59547, 542
