1032, 492.160
2115, 424.263
3198, 337.781
4282, 293.68
5365, 284.237
6449, 334.470
7531, 397.583
8614, 299.141
9698, 264.180
10781, 280.189
11866, 247.252
12949, 323.798
14032, 317.173
15117, 360.782
16200, 354.158
17284, 331.709
18367, 351.29
19451, 382.862
20535, 366.485
21618, 199.595
22702, 252.588
23786, 329.869
24869, 431.807
25953, 372.742
27036, 340.173
28121, 338.150
29204, 369.982
30287, 287.181
31372, 359.310
32455, 395.742
33539, 436.959
34623, 428.127
35706, 403.103
36790, 384.702
37873, 375.134
38958, 346.981
40041, 367.958
41124, 430.519
42209, 417.639
43292, 432.359
44376, 368.142
45459, 341.461
46543, 447.631
47627, 413.39
48710, 308.525
49795, 359.126
50878, 395.190
51961, 419.663
53045, 354.894
54129, 288.837
55213, 443.31
56296, 372.926
57379, 372.6
58464, 412.303
59547, 417.271
