1032, 405.311
2115, 417.271
3198, 399.238
4282, 346.798
5365, 359.126
6449, 407.151
7532, 464.560
8614, 335.574
9698, 256.268
10781, 307.605
11866, 332.445
12949, 269.884
14032, 353.606
15116, 363.358
16200, 252.772
17284, 468.608
18367, 419.663
19451, 433.832
20535, 346.429
21618, 315.885
22702, 307.605
23786, 323.798
24869, 377.526
25953, 382.678
27037, 359.678
28121, 404.574
29204, 333.549
30288, 362.622
31372, 359.494
32455, 459.591
33539, 457.384
34623, 387.830
35706, 404.206
36790, 349.6
37874, 349.926
38958, 288.100
40041, 320.118
41124, 344.406
42209, 289.756
43292, 232.532
44376, 281.477
45459, 299.877
46543, 260.868
47627, 244.859
48710, 296.381
49795, 375.134
50878, 332.814
51961, 366.854
53045, 370.534
54129, 293.620
55213, 312.572
56296, 327.661
57380, 445.607
