Time,Value
0.0,1.488
1.247,1.352
2.483,1.297
3.719,1.304
4.955,1.271
6.191,1.268
7.428,1.264
8.664,1.260
9.900,1.257
11.137,1.264
12.371,1.257
13.607,1.257
14.843,1.257
16.79,1.260
17.316,1.220
18.552,1.235
19.788,1.249
21.24,1.257
22.260,1.257
23.496,1.249
24.732,1.209
25.969,1.271
27.205,1.334
28.441,2.111
29.677,1.466
30.913,1.275
32.150,1.202
33.386,1.202
34.622,1.213
35.859,1.224
37.95,1.231
38.331,1.231
39.567,1.235
40.803,1.239
42.39,1.239
43.275,1.239
44.512,1.249
45.748,1.249
46.984,1.249
48.220,1.253
49.456,1.253
50.692,1.253
51.928,1.249
53.164,1.253
54.401,1.257
55.636,1.253
56.872,1.253
58.108,1.260
59.344,1.249
60.580,1.257
61.816,1.239
63.53,1.264
64.289,1.271
65.525,1.260
66.761,1.253
67.997,1.264
69.233,1.268
70.469,1.257
71.705,1.257
72.942,1.268
74.178,1.264
75.414,1.257
76.650,1.264
77.886,1.271
79.122,1.260
80.359,1.257
81.595,1.268
82.831,1.268
84.67,1.257
85.303,1.260
86.539,1.271
87.775,1.264
89.12,1.257
90.248,1.264
91.484,1.271
92.720,1.264
93.956,1.257
95.192,1.264
96.428,1.268
97.665,1.257
98.900,1.260
100.136,1.271
