Time,Value
0.0,1.473
1.247,1.374
2.483,1.334
3.719,1.323
4.955,1.308
6.191,1.301
7.428,1.301
8.664,1.301
9.900,1.297
11.137,1.297
12.371,1.297
13.607,1.301
14.843,1.297
16.79,1.297
17.316,1.301
18.552,1.297
19.788,1.293
21.24,1.297
22.260,1.297
23.496,1.297
24.732,1.293
25.969,1.297
27.205,1.297
28.441,1.297
29.677,1.297
30.913,1.297
32.150,1.297
33.386,1.293
34.623,1.293
35.859,1.297
37.95,1.293
38.331,1.293
39.567,1.293
40.803,1.297
42.39,1.293
43.275,1.293
44.512,1.297
45.748,1.297
46.984,1.297
48.220,1.293
49.456,1.297
50.692,1.297
51.928,1.293
53.165,1.290
54.401,1.293
55.636,1.297
56.872,1.293
58.108,1.293
59.344,1.297
60.580,1.293
61.817,1.290
63.53,1.293
64.289,1.297
65.525,1.293
66.761,1.293
67.997,1.293
69.233,1.297
70.470,1.293
71.706,1.293
72.942,1.297
74.178,1.297
75.414,1.293
76.650,1.293
77.886,1.297
79.123,1.293
80.359,1.293
81.595,1.297
82.831,1.297
84.67,1.290
85.303,1.293
86.539,1.297
87.776,1.293
89.12,1.290
90.248,1.293
91.484,1.297
92.720,1.293
93.956,1.290
95.192,1.297
96.429,1.293
97.665,1.290
98.900,1.290
100.136,1.293
