Time,Value
0.0,1.480
1.247,1.392
2.483,1.348
3.719,1.334
4.955,1.326
6.191,1.315
7.428,1.315
8.664,1.315
9.900,1.308
11.137,1.308
12.371,1.312
13.607,1.312
14.843,1.308
16.79,1.308
17.316,1.312
18.552,1.304
19.788,1.304
21.24,1.308
22.260,1.312
23.496,1.304
24.732,1.308
25.969,1.315
27.205,1.308
28.441,1.304
29.677,1.312
30.913,1.312
32.150,1.304
33.386,1.308
34.622,1.312
35.859,1.312
37.95,1.308
38.331,1.312
39.567,1.312
40.803,1.308
42.39,1.308
43.275,1.312
44.512,1.312
45.748,1.308
46.984,1.308
48.220,1.308
49.456,1.308
50.692,1.308
51.928,1.312
53.164,1.312
54.401,1.308
55.636,1.308
56.872,1.308
58.108,1.308
59.344,1.304
60.580,1.308
61.816,1.312
63.53,1.304
64.289,1.308
65.525,1.312
66.761,1.304
67.997,1.308
69.233,1.312
70.469,1.312
71.706,1.304
72.942,1.304
74.178,1.312
75.414,1.308
76.650,1.304
77.886,1.312
79.122,1.308
80.359,1.304
81.595,1.308
82.831,1.312
84.67,1.304
85.303,1.301
86.539,1.308
87.775,1.308
89.12,1.301
90.248,1.304
91.484,1.308
92.720,1.308
93.956,1.301
95.192,1.304
96.428,1.308
97.665,1.301
98.900,1.301
100.136,1.304
