Time,Value
0.0,1.451
1.247,1.326
2.483,1.293
3.719,1.271
4.955,1.264
6.191,1.268
7.428,1.268
8.664,1.264
9.900,1.260
11.137,1.260
12.371,1.264
13.607,1.264
14.843,1.257
16.79,1.260
17.316,1.264
18.552,1.264
19.788,1.260
21.24,1.260
22.260,1.264
23.496,1.264
24.732,1.260
25.968,1.257
27.205,1.257
28.441,1.260
29.677,1.260
30.913,1.257
32.150,1.260
33.386,1.264
34.622,1.264
35.859,1.257
37.95,1.260
38.331,1.264
39.567,1.260
40.803,1.257
42.39,1.257
43.275,1.264
44.512,1.264
45.748,1.260
46.984,1.257
48.220,1.260
49.456,1.264
50.692,1.260
51.928,1.257
53.164,1.260
54.401,1.264
55.636,1.253
56.872,1.242
58.108,1.242
59.344,1.246
60.580,1.246
61.816,1.242
63.53,0.410
64.289,1.99
65.525,1.198
66.761,1.224
67.997,1.231
69.233,1.242
70.469,1.249
71.705,1.246
72.942,1.242
74.178,1.242
75.414,1.249
76.650,1.246
77.886,1.242
79.122,1.242
80.358,1.246
81.595,1.246
82.831,1.239
84.67,1.239
85.303,1.246
86.539,1.246
87.775,1.242
89.11,1.242
90.248,1.246
91.484,1.246
92.720,1.242
93.956,1.239
95.192,1.246
96.428,1.242
97.664,1.239
98.900,1.235
100.136,1.242
