Time,Value
0.0,1.385
1.247,1.235
2.483,1.191
3.719,1.187
4.955,1.184
6.191,1.176
7.427,1.176
8.664,1.180
9.900,1.180
11.137,1.180
12.371,1.176
13.607,1.169
14.843,1.169
16.79,1.169
17.316,1.173
18.552,1.176
19.788,1.180
21.24,1.173
22.260,1.176
23.496,1.180
24.732,1.180
25.969,1.176
27.205,1.180
28.441,1.184
29.677,1.180
30.913,1.180
32.150,1.184
33.386,1.184
34.622,1.180
35.859,1.180
37.95,1.184
38.331,1.184
39.567,1.180
40.803,1.184
42.39,1.187
43.275,1.184
44.511,1.180
45.748,1.184
46.984,1.187
48.220,1.187
49.456,1.184
50.692,1.187
51.928,1.184
53.164,1.180
54.401,1.180
55.636,1.184
56.872,1.180
58.108,1.176
59.344,1.184
60.580,1.184
61.816,1.180
63.53,1.180
64.289,1.187
65.525,1.184
66.761,1.180
67.997,1.180
69.233,1.184
70.469,1.184
71.705,1.180
72.942,1.184
74.178,1.184
75.414,1.180
76.650,1.176
77.886,1.184
79.122,1.184
80.358,1.184
81.595,1.184
82.831,1.191
84.67,1.184
85.303,1.180
86.539,1.184
87.775,1.184
89.11,1.180
90.248,1.180
91.484,1.187
92.720,1.184
93.956,1.180
95.192,1.184
96.428,1.187
97.664,1.184
98.900,1.180
100.136,1.187
