Time,Value
0.0,1.411
1.247,1.315
2.483,1.301
3.719,1.293
4.955,1.268
6.191,1.249
7.428,1.242
8.664,1.249
9.900,1.253
11.137,1.249
12.371,1.246
13.607,1.249
14.843,1.257
16.79,1.249
17.316,1.249
18.552,1.249
19.788,1.249
21.24,1.249
22.260,1.242
23.496,1.242
24.732,1.246
25.968,1.249
27.205,1.246
28.441,1.242
29.677,1.246
30.913,1.249
32.150,1.246
33.386,1.239
34.622,1.239
35.859,1.242
37.95,1.242
38.331,1.242
39.567,1.242
40.803,1.249
42.39,1.249
43.275,1.246
44.511,1.242
45.748,1.249
46.984,1.249
48.220,1.246
49.456,1.246
50.692,1.246
51.928,1.253
53.164,1.249
54.401,1.224
55.636,1.220
56.872,1.231
58.108,1.253
59.344,1.220
60.580,1.337
61.816,1.286
63.53,1.257
64.289,1.202
65.525,1.213
66.761,1.235
67.997,1.239
69.233,1.239
70.469,1.239
71.705,1.239
72.942,1.242
74.178,1.242
75.414,1.239
76.650,1.242
77.886,1.242
79.122,1.242
80.358,1.242
81.595,1.242
82.831,1.246
84.67,1.242
85.303,1.235
86.539,1.235
87.775,1.242
89.11,1.242
90.248,1.239
91.484,1.235
92.720,1.242
93.956,1.242
95.192,1.239
96.428,1.239
97.664,1.242
98.900,1.246
100.136,1.239
