Time,Value
0.0,1.462
1.247,1.341
2.483,1.297
3.719,1.279
4.955,1.271
6.191,1.271
7.428,1.275
8.664,1.268
9.900,1.268
11.137,1.268
12.371,1.271
13.607,1.268
14.843,1.260
16.79,1.264
17.316,1.268
18.552,1.275
19.788,1.279
21.24,1.282
22.260,1.286
23.496,1.290
24.732,1.286
25.969,1.282
27.205,1.286
28.441,1.290
29.677,1.286
30.913,1.279
32.150,1.279
33.386,1.286
34.623,1.286
35.859,1.279
37.95,1.279
38.331,1.286
39.567,1.286
40.803,1.286
42.39,1.282
43.275,1.286
44.512,1.290
45.748,1.286
46.984,1.282
48.220,1.282
49.456,1.286
50.692,1.286
51.928,1.282
53.165,1.282
54.401,1.286
55.636,1.286
56.872,1.282
58.108,1.286
59.344,1.290
60.580,1.286
61.816,1.279
63.53,1.286
64.289,1.290
65.525,1.286
66.761,1.282
67.997,1.286
69.233,1.286
70.469,1.279
71.706,1.279
72.942,1.282
74.178,1.282
75.414,1.279
76.650,1.282
77.886,1.286
79.122,1.286
80.359,1.279
81.595,1.282
82.831,1.286
84.67,1.279
85.303,1.279
86.539,1.286
87.776,1.286
89.12,1.279
90.248,1.279
91.484,1.286
92.720,1.286
93.956,1.286
95.192,1.279
96.429,1.282
97.665,1.286
98.900,1.282
100.136,1.279
