Time,Value
0.0,1.469
1.247,1.367
2.483,1.326
3.719,1.308
4.955,1.286
6.191,1.279
7.428,1.279
8.664,1.279
9.900,1.271
11.137,1.275
12.371,1.275
13.607,1.275
14.843,1.271
16.79,1.268
17.316,1.271
18.552,1.275
19.788,1.271
21.24,1.271
22.260,1.268
23.496,1.275
24.732,1.275
25.969,1.271
27.205,1.271
28.441,1.275
29.677,1.275
30.913,1.275
32.150,1.271
33.386,1.271
34.622,1.275
35.859,1.275
37.95,1.271
38.331,1.268
39.567,1.271
40.803,1.275
42.39,1.268
43.275,1.268
44.512,1.271
45.748,1.271
46.984,1.275
48.220,1.268
49.456,1.271
50.692,1.275
51.928,1.271
53.165,1.271
54.401,1.268
55.636,1.271
56.872,1.271
58.108,1.271
59.344,1.268
60.580,1.271
61.816,1.275
63.53,1.271
64.289,1.268
65.525,1.271
66.761,1.271
67.997,1.268
69.233,1.268
70.469,1.268
71.706,1.271
72.942,1.271
74.178,1.271
75.414,1.271
76.650,1.271
77.886,1.271
79.122,1.271
80.359,1.271
81.595,1.271
82.831,1.268
84.67,1.268
85.303,1.268
86.539,1.271
87.775,1.271
89.12,1.268
90.248,1.268
91.484,1.268
92.720,1.268
93.956,1.264
95.192,1.264
96.428,1.271
97.665,1.271
98.900,1.268
100.136,1.268
